from_domain,from_table,from_column,to_domain,to_table,to_column,business_label
Presenze,presenze_bank_hours_guidance_config_revisions,config_id,Presenze,presenze_bank_hours_guidance_config,id,presenze_bank_hours_guidance_config_revisions.config_id collega a presenze_bank_hours_guidance_config (config)
Presenze,presenze_collaborator_schedule_assignments,collaborator_id,Presenze,presenze_collaborators,id,presenze_collaborator_schedule_assignments.collaborator_id collega a presenze_collaborators (collaborator)
Presenze,presenze_collaborator_schedule_assignments,template_id,Presenze,presenze_schedule_templates,id,presenze_collaborator_schedule_assignments.template_id collega a presenze_schedule_templates (template)
Presenze,presenze_collaborators,application_user_id,Accessi e permessi,application_users,id,presenze_collaborators.application_user_id collega a application_users (application_user)
Presenze,presenze_collaborators,owner_user_id,Accessi e permessi,application_users,id,presenze_collaborators.owner_user_id collega a application_users (owner_user)
Presenze,presenze_credentials,application_user_id,Accessi e permessi,application_users,id,presenze_credentials.application_user_id collega a application_users (application_user)
Presenze,presenze_daily_punches,daily_record_id,Presenze,presenze_daily_records,id,presenze_daily_punches.daily_record_id collega a presenze_daily_records (daily_record)
Presenze,presenze_daily_records,application_user_id,Accessi e permessi,application_users,id,presenze_daily_records.application_user_id collega a application_users (application_user)
Presenze,presenze_daily_records,collaborator_id,Presenze,presenze_collaborators,id,presenze_daily_records.collaborator_id collega a presenze_collaborators (collaborator)
Presenze,presenze_daily_records,owner_user_id,Accessi e permessi,application_users,id,presenze_daily_records.owner_user_id collega a application_users (owner_user)
Presenze,presenze_daily_records,source_job_id,Presenze,presenze_import_jobs,id,presenze_daily_records.source_job_id collega a presenze_import_jobs (source_job)
Presenze,presenze_daily_records,validated_by_user_id,Accessi e permessi,application_users,id,presenze_daily_records.validated_by_user_id collega a application_users (validated_by_user)
Presenze,presenze_event_summaries,application_user_id,Accessi e permessi,application_users,id,presenze_event_summaries.application_user_id collega a application_users (application_user)
Presenze,presenze_event_summaries,collaborator_id,Presenze,presenze_collaborators,id,presenze_event_summaries.collaborator_id collega a presenze_collaborators (collaborator)
Presenze,presenze_event_summaries,owner_user_id,Accessi e permessi,application_users,id,presenze_event_summaries.owner_user_id collega a application_users (owner_user)
Presenze,presenze_event_summaries,source_job_id,Presenze,presenze_import_jobs,id,presenze_event_summaries.source_job_id collega a presenze_import_jobs (source_job)
Presenze,presenze_import_jobs,requested_by_user_id,Accessi e permessi,application_users,id,presenze_import_jobs.requested_by_user_id collega a application_users (requested_by_user)
Presenze,presenze_import_jobs,target_user_id,Accessi e permessi,application_users,id,presenze_import_jobs.target_user_id collega a application_users (target_user)
Presenze,presenze_recovery_adjustments,collaborator_id,Presenze,presenze_collaborators,id,presenze_recovery_adjustments.collaborator_id collega a presenze_collaborators (collaborator)
Presenze,presenze_recovery_adjustments,created_by_user_id,Accessi e permessi,application_users,id,presenze_recovery_adjustments.created_by_user_id collega a application_users (created_by_user)
Presenze,presenze_recovery_adjustments,reviewed_by_user_id,Accessi e permessi,application_users,id,presenze_recovery_adjustments.reviewed_by_user_id collega a application_users (reviewed_by_user)
Presenze,presenze_recovery_adjustments,updated_by_user_id,Accessi e permessi,application_users,id,presenze_recovery_adjustments.updated_by_user_id collega a application_users (updated_by_user)
Presenze,presenze_schedule_rules,template_id,Presenze,presenze_schedule_templates,id,presenze_schedule_rules.template_id collega a presenze_schedule_templates (template)
Presenze,presenze_supervisor_assignments,assigned_by_user_id,Accessi e permessi,application_users,id,presenze_supervisor_assignments.assigned_by_user_id collega a application_users (assigned_by_user)
Presenze,presenze_supervisor_assignments,collaborator_id,Presenze,presenze_collaborators,id,presenze_supervisor_assignments.collaborator_id collega a presenze_collaborators (collaborator)
Presenze,presenze_supervisor_assignments,supervisor_user_id,Accessi e permessi,application_users,id,presenze_supervisor_assignments.supervisor_user_id collega a application_users (supervisor_user)
Presenze,presenze_sync_jobs,credential_id,Presenze,presenze_credentials,id,presenze_sync_jobs.credential_id collega a presenze_credentials (credential)
Presenze,presenze_sync_jobs,import_job_id,Presenze,presenze_import_jobs,id,presenze_sync_jobs.import_job_id collega a presenze_import_jobs (import_job)
Presenze,presenze_sync_jobs,requested_by_user_id,Accessi e permessi,application_users,id,presenze_sync_jobs.requested_by_user_id collega a application_users (requested_by_user)
Sincronizzazioni e audit,reviews,nas_user_id,Accessi e permessi,nas_users,id,reviews.nas_user_id collega a nas_users (nas_user)
Sincronizzazioni e audit,reviews,reviewer_user_id,Accessi e permessi,application_users,id,reviews.reviewer_user_id collega a application_users (reviewer_user)
Sincronizzazioni e audit,reviews,share_id,Sincronizzazioni e audit,shares,id,reviews.share_id collega a shares (share)
Sincronizzazioni e audit,reviews,snapshot_id,Sincronizzazioni e audit,snapshots,id,reviews.snapshot_id collega a snapshots (snapshot)
Riordino fondiario,riordino_appeals,appellant_subject_id,Utenze e anagrafiche,ana_subjects,id,riordino_appeals.appellant_subject_id collega a ana_subjects (appellant_subject)
Riordino fondiario,riordino_appeals,created_by,Accessi e permessi,application_users,id,riordino_appeals.created_by collega a application_users (created_by)
Riordino fondiario,riordino_appeals,phase_id,Riordino fondiario,riordino_phases,id,riordino_appeals.phase_id collega a riordino_phases (phase)
Riordino fondiario,riordino_appeals,practice_id,Riordino fondiario,riordino_practices,id,riordino_appeals.practice_id collega a riordino_practices (practice)
Riordino fondiario,riordino_appeals,step_id,Riordino fondiario,riordino_steps,id,riordino_appeals.step_id collega a riordino_steps (step)
Riordino fondiario,riordino_checklist_items,checked_by,Accessi e permessi,application_users,id,riordino_checklist_items.checked_by collega a application_users (checked_by)
Riordino fondiario,riordino_checklist_items,step_id,Riordino fondiario,riordino_steps,id,riordino_checklist_items.step_id collega a riordino_steps (step)
Riordino fondiario,riordino_documents,appeal_id,Riordino fondiario,riordino_appeals,id,riordino_documents.appeal_id collega a riordino_appeals (appeal)
Riordino fondiario,riordino_documents,issue_id,Riordino fondiario,riordino_issues,id,riordino_documents.issue_id collega a riordino_issues (issue)
Riordino fondiario,riordino_documents,phase_id,Riordino fondiario,riordino_phases,id,riordino_documents.phase_id collega a riordino_phases (phase)
Riordino fondiario,riordino_documents,practice_id,Riordino fondiario,riordino_practices,id,riordino_documents.practice_id collega a riordino_practices (practice)
Riordino fondiario,riordino_documents,step_id,Riordino fondiario,riordino_steps,id,riordino_documents.step_id collega a riordino_steps (step)
Riordino fondiario,riordino_documents,uploaded_by,Accessi e permessi,application_users,id,riordino_documents.uploaded_by collega a application_users (uploaded_by)
Riordino fondiario,riordino_events,created_by,Accessi e permessi,application_users,id,riordino_events.created_by collega a application_users (created_by)
Riordino fondiario,riordino_events,phase_id,Riordino fondiario,riordino_phases,id,riordino_events.phase_id collega a riordino_phases (phase)
Riordino fondiario,riordino_events,practice_id,Riordino fondiario,riordino_practices,id,riordino_events.practice_id collega a riordino_practices (practice)
Riordino fondiario,riordino_events,step_id,Riordino fondiario,riordino_steps,id,riordino_events.step_id collega a riordino_steps (step)
Riordino fondiario,riordino_gis_links,practice_id,Riordino fondiario,riordino_practices,id,riordino_gis_links.practice_id collega a riordino_practices (practice)
Riordino fondiario,riordino_issues,assigned_to,Accessi e permessi,application_users,id,riordino_issues.assigned_to collega a application_users (assigned_to)
Riordino fondiario,riordino_issues,opened_by,Accessi e permessi,application_users,id,riordino_issues.opened_by collega a application_users (opened_by)
Riordino fondiario,riordino_issues,phase_id,Riordino fondiario,riordino_phases,id,riordino_issues.phase_id collega a riordino_phases (phase)
Riordino fondiario,riordino_issues,practice_id,Riordino fondiario,riordino_practices,id,riordino_issues.practice_id collega a riordino_practices (practice)
Riordino fondiario,riordino_issues,step_id,Riordino fondiario,riordino_steps,id,riordino_issues.step_id collega a riordino_steps (step)
Riordino fondiario,riordino_notifications,practice_id,Riordino fondiario,riordino_practices,id,riordino_notifications.practice_id collega a riordino_practices (practice)
Riordino fondiario,riordino_notifications,user_id,Accessi e permessi,application_users,id,riordino_notifications.user_id collega a application_users (user)
Riordino fondiario,riordino_parcel_links,practice_id,Riordino fondiario,riordino_practices,id,riordino_parcel_links.practice_id collega a riordino_practices (practice)
Riordino fondiario,riordino_parcel_links,title_holder_subject_id,Utenze e anagrafiche,ana_subjects,id,riordino_parcel_links.title_holder_subject_id collega a ana_subjects (title_holder_subject)
Riordino fondiario,riordino_party_links,practice_id,Riordino fondiario,riordino_practices,id,riordino_party_links.practice_id collega a riordino_practices (practice)
Riordino fondiario,riordino_party_links,subject_id,Utenze e anagrafiche,ana_subjects,id,riordino_party_links.subject_id collega a ana_subjects (subject)
Riordino fondiario,riordino_phases,approved_by,Accessi e permessi,application_users,id,riordino_phases.approved_by collega a application_users (approved_by)
Riordino fondiario,riordino_phases,practice_id,Riordino fondiario,riordino_practices,id,riordino_phases.practice_id collega a riordino_practices (practice)
Riordino fondiario,riordino_practices,created_by,Accessi e permessi,application_users,id,riordino_practices.created_by collega a application_users (created_by)
Riordino fondiario,riordino_practices,owner_user_id,Accessi e permessi,application_users,id,riordino_practices.owner_user_id collega a application_users (owner_user)
Riordino fondiario,riordino_steps,owner_user_id,Accessi e permessi,application_users,id,riordino_steps.owner_user_id collega a application_users (owner_user)
Riordino fondiario,riordino_steps,phase_id,Riordino fondiario,riordino_phases,id,riordino_steps.phase_id collega a riordino_phases (phase)
Riordino fondiario,riordino_steps,practice_id,Riordino fondiario,riordino_practices,id,riordino_steps.practice_id collega a riordino_practices (practice)
Riordino fondiario,riordino_steps,template_id,Riordino fondiario,riordino_step_templates,id,riordino_steps.template_id collega a riordino_step_templates (template)
Riordino fondiario,riordino_tasks,owner_user_id,Accessi e permessi,application_users,id,riordino_tasks.owner_user_id collega a application_users (owner_user)
