source_point_code,record_kinds,rows,matricole,exact_candidates,strip_suffix_candidates,dotted_candidates,alpha_suffix_candidates,meter_candidates,notes
15_11_8,operator_activity,1,,28_1D_1L:15_11_8 | 28_1D_2L:15_11_8,,,,,ambiguous_subdistrict | operator_activity
15_1_2,operator_activity,1,,28_1D_1L:15_1_2 | 28_1D_2L:15_1_2,,,,,ambiguous_subdistrict | operator_activity
15_1_4,operator_activity,1,,28_1D_1L:15_1_4 | 28_1D_2L:15_1_4,,,,,ambiguous_subdistrict | operator_activity
15_1_6,operator_activity,1,,28_1D_1L:15_1_6 | 28_1D_2L:15_1_6,,,,,ambiguous_subdistrict | operator_activity
15_1_7,operator_activity,1,,28_1D_1L:15_1_7 | 28_1D_2L:15_1_7,,,,,ambiguous_subdistrict | operator_activity
18_1_10,operator_activity,1,,28_1D_1L:18_1_10 | 28_1D_2L:18_1_10,,,,,ambiguous_subdistrict | operator_activity
18_1_13,operator_activity,1,,28_1D_1L:18_1_13 | 28_1D_2L:18_1_13,,,,,ambiguous_subdistrict | operator_activity
18_1_17,operator_activity,1,,28_1D_1L:18_1_17 | 28_1D_2L:18_1_17,,,,,ambiguous_subdistrict | operator_activity
18_1_20,operator_activity,1,,28_1D_1L:18_1_20 | 28_1D_2L:18_1_20,,,,,ambiguous_subdistrict | operator_activity
18_1_4,operator_activity,1,,28_1D_1L:18_1_4 | 28_1D_2L:18_1_4,,,,,ambiguous_subdistrict | operator_activity
18_1_5,operator_activity,1,,28_1D_1L:18_1_5 | 28_1D_2L:18_1_5,,,,,ambiguous_subdistrict | operator_activity
18_1_6,operator_activity,1,,28_1D_1L:18_1_6 | 28_1D_2L:18_1_6,,,,,ambiguous_subdistrict | operator_activity
18_1_7,operator_activity,1,,28_1D_1L:18_1_7 | 28_1D_2L:18_1_7,,,,,ambiguous_subdistrict | operator_activity
18_1_9,operator_activity,1,,28_1D_1L:18_1_9 | 28_1D_2L:18_1_9,,,,,ambiguous_subdistrict | operator_activity
19_1_26,operator_activity,1,,,,,,,operator_activity
19_1_26_L,operator_activity,1,,,,,,,operator_activity
1_1_4,operator_activity,1,,28_1D_1L:1_1_4 | 28_1D_2L:1_1_4,,,,,ambiguous_subdistrict | operator_activity
1_1_7,operator_activity,1,,28_1D_1L:1_1_7 | 28_1D_2L:1_1_7,,,,,ambiguous_subdistrict | operator_activity
1_1_8,meter_reading,1,,28_1D_1L:1_1_8 | 28_1D_2L:1_1_8,,,,,ambiguous_subdistrict
1_1_9,meter_reading,1,,28_1D_1L:1_1_9 | 28_1D_2L:1_1_9,,,,,ambiguous_subdistrict
